"","Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"1589_11660",0.0271990355820701,1.05847179939488e-08,1.05847179939488e-08,0.00797520168484564,0.0446307412134169,0.140068962531202,1.05847179939488e-08,1.05847179939488e-08,0.120079615577933,1.05847179939488e-08,1.05847179939488e-08,0.660046379902224
"1589_12084",0.0271219135329357,1.09920335295343e-08,1.09920335295343e-08,1.09920335295343e-08,0.040566836430255,0.26499964071784,1.09920335295343e-08,0.0715617998802588,0.0886364727603864,0.185402190623722,1.09920335295343e-08,0.321711091094435
"1589_12508",0.165915847209818,0.0159589456279092,0.138337817612743,1.15714952928468e-08,0.249552261110293,1.15714952928468e-08,1.15714952928468e-08,0.0274063071439294,0.168569244299979,1.15714952928468e-08,1.15714952928468e-08,0.234259519137851
"2043_1484",0.84972143864983,0.0240639383574392,1.20560247125569e-08,1.20560247125569e-08,0.126214514488508,1.20560247125569e-08,1.20560247125569e-08,1.20560247125569e-08,1.20560247125569e-08,1.20560247125569e-08,1.20560247125569e-08,1.20560247062111e-08
"2043_1908",0.986294356954009,1.46971746285604e-08,1.46971746285604e-08,1.46971746285604e-08,0.0137054960742447,1.46971746285604e-08,1.46971746284732e-08,1.46971746285604e-08,1.46971746285604e-08,1.46971746285604e-08,1.46971746285604e-08,1.46971746208245e-08
"2043_2332",0.812823593611802,1.14650315759326e-08,1.14650315759326e-08,1.14650315759326e-08,0.186790741541148,0.000385561661765735,1.14650315759326e-08,1.14650315759326e-08,1.14650315759326e-08,1.14650315759326e-08,1.14650315759326e-08,1.14650315759326e-08
"2043_2756",0.981866730208745,1.60885359986705e-08,0.0181331089058952,1.6088535998766e-08,1.6088535998766e-08,1.6088535998766e-08,1.6088535998766e-08,1.6088535998766e-08,1.6088535998766e-08,1.6088535998766e-08,1.6088535998766e-08,1.6088535998766e-08
"2043_4876",0.986713166058667,0.0120818196931978,1.49626390633748e-08,1.49626390633748e-08,0.00120487958438386,1.49626390633748e-08,1.49626390633748e-08,1.49626390633748e-08,1.4962639063286e-08,1.49626390633748e-08,1.49626390633748e-08,1.49626390633748e-08
"2043_5300",0.826439136535171,1.20735081820007e-08,0.164222807414601,0.00343765488044537,1.20735081820724e-08,1.20735081820724e-08,1.20735081820724e-08,0.00590030458171656,1.20735081820724e-08,1.20735081820724e-08,1.20735081820724e-08,1.20735081820724e-08
"2043_5724",0.414626806117246,1.11819776644917e-08,0.0929169811644625,1.11819776644917e-08,0.325423015891266,1.11819776644917e-08,1.11819776644917e-08,1.11819776644917e-08,0.135168097241092,1.11819776644917e-08,0.0318650213120911,1.11819776644917e-08
"2043_7420",1.26224134492126e-08,1.26224134492126e-08,1.26224134492126e-08,1.26224134492126e-08,0.598567797123883,0.267414464415838,0.0748295057433381,0.024256750291032,1.26224134492126e-08,1.26224134492126e-08,0.0349313940690145,1.26224134492126e-08
"2043_8692",0.0136268332581078,9.81694513260245e-09,0.0447887091254824,9.81694513260245e-09,0.00292244024580527,9.81694513260245e-09,9.81694513260245e-09,9.81694513260245e-09,0.113524232012143,0.0986466172778637,9.81694513260245e-09,0.726491109178927
"2043_9116",0.0757766387059075,0.0111381440401603,9.74867562292941e-09,9.74867562292941e-09,0.00797815461101692,0.0381622087994725,9.74867562292941e-09,9.74867562292941e-09,0.089550707181031,0.0561618385631091,9.74867562292941e-09,0.721232259355925
